,Pais,Tipo,Bodegas,Nombre y año,Región,Rating,Valoraciones,Precio,Año
135,España,Tinto,Cepa 21,Horcajo 2015,Ribera del Duero ,4.6,126,75.9,2015
136,España,Tinto,Hacienda Monasterio,Reserva Especial 2016,Ribera del Duero ,4.6,125,86.84,2016
137,España,Tinto,Hacienda Monasterio,Reserva Especial 2015,Ribera del Duero ,4.6,122,87.68,2015
138,España,Tinto,Alto Moncayo,Aquilon Garnacha 2016,Campo de Borja ,4.6,91,112.0,2016
139,España,Tinto,Teso La Monja,Alabaster 2018,Toro ,4.6,87,160.0,2018
140,España,Tinto,Mas d'en Gil,Gran Buig Priorat 2004,Priorato ,4.6,82,350.0,2004
141,España,Tinto,Oxer Wines,Kalamity Rioja 2018,Rioja ,4.6,82,109.73,2018
142,España,Tinto,Osborne,Solera India Oloroso Rare Sherry N.V.,Jerez-Xérès-Sherry ,4.6,80,195.0,N.V.
143,España,Tinto,Dominio del Águila,Gran Reserva Peñas Aladas 2014,Ribera del Duero ,4.6,80,208.95,2014
144,España,Tinto,Castillo Perelada,Finca Garbet 2014,Empordà ,4.6,79,119.7,2014
145,España,Tinto,Gómez Cruzado,Viña Motulleri 2011,Rioja ,4.6,77,85.5,2011
146,España,Tinto,Sierra Cantabria,Amancio 2017,Rioja ,4.6,74,88.77,2017
147,España,Tinto,Bodegas Mas Alta,La Creu Alta 2017,Priorato ,4.6,70,87.95,2017
148,España,Tinto,Artadi,El Carretil 2013,Vino de España ,4.6,69,215.0,2013
149,España,Tinto,Bodegas Valduero,Tierra Alta de 2 Racimos Gran Reserva 2012,Ribera del Duero ,4.6,69,93.5,2012
150,España,Tinto,Vega Sicilia,Unico 2010,Ribera del Duero ,4.8,1571,380.55,2010
151,España,Tinto,Vega Sicilia,Unico Reserva Especial Edición 2018,Ribera del Duero ,4.8,462,484.0,2018
152,España,Tinto,Vega Sicilia,Unico Reserva Especial Edición 2019,Ribera del Duero ,4.8,261,471.9,2019
153,España,Tinto,Toro Albalá,Don PX Convento Selección 1931,Montilla-Moriles ,4.8,159,300.93,1931
154,España,Tinto,Vega Sicilia,Unico Reserva Especial Edición 2020,Ribera del Duero ,4.8,97,435.75,2020
155,España,Tinto,Ordóñez,Vatan Arena Tinta de Toro 2014,Toro ,4.8,84,369.05,2014
156,España,Tinto,Viña Sastre,Pesus Ribera del Duero 2007,Ribera del Duero ,4.8,81,360.0,2007
157,España,Tinto,Toro Albalá,Don PX Convento Selección 1929,Montilla-Moriles ,4.8,77,290.95,1929
158,España,Tinto,Artadi,Viña El Pison 2018,Vino de España ,4.8,54,299.25,2018
159,España,Tinto,Vega Sicilia,Unico Reserva Especial Edición 2021,Ribera del Duero ,4.8,28,451.5,2021
160,España,Tinto,Vega Sicilia,Unico 2005,Ribera del Duero ,4.7,3627,496.1,2005
161,España,Tinto,Vega Sicilia,Valbuena 5º 2006,Ribera del Duero ,4.7,3980,249.2,2006
162,España,Tinto,Vega Sicilia,Unico Reserva Especial Edición,Ribera del Duero ,4.7,12885,423.5,Edición
163,España,Tinto,Vega Sicilia,Unico 2006,Ribera del Duero ,4.7,2976,450.0,2006
164,España,Tinto,Vega Sicilia,Unico 2008,Ribera del Duero ,4.7,2516,499.0,2008
165,España,Tinto,Vega Sicilia,Unico 2009,Ribera del Duero ,4.7,2054,450.0,2009
166,España,Tinto,Vega Sicilia,Valbuena 5º 2005,Ribera del Duero ,4.7,1894,284.1,2005
167,España,Tinto,Vega Sicilia,Unico 2011,Ribera del Duero ,4.7,1298,389.9,2011
168,España,Tinto,Vega Sicilia,Unico Reserva Especial Edición 2017,Ribera del Duero ,4.7,563,496.1,2017
169,España,Tinto,Vega Sicilia,Unico 2012,Ribera del Duero ,4.7,511,349.0,2012
170,España,Tinto,Emilio Moro,Malleolus de Sanchomartin 2016,Ribera del Duero ,4.7,434,120.75,2016
171,España,Tinto,Pago de Los Capellanes,Parcela El Picón Tinto 2016,Ribera del Duero ,4.7,140,196.0,2016
172,España,Tinto,Toro Albalá,Don PX Convento Selección 1955,Montilla-Moriles ,4.7,129,227.5,1955
173,España,Tinto,Toro Albalá,Don PX Pedro Ximenez 1931,Montilla-Moriles ,4.7,79,320.61,1931
174,España,Tinto,Teso La Monja,Alabaster 2019,Toro ,4.7,74,160.77,2019
175,España,Tinto,Pago de Carraovejas,Cuesta de Las Liebres 2018,Ribera del Duero ,4.7,70,158.9,2018
176,España,Tinto,Ordóñez,Vatan Arena Tinta de Toro 2015,Toro ,4.7,70,369.0,2015
177,España,Tinto,Toro Albalá,Don PX Convento Selección 1958,Montilla-Moriles ,4.7,55,249.02,1958
178,España,Tinto,Recaredo,Reserva Particular de Recaredo Brut Nature 2011,Penedès ,4.7,54,65.05,2011
179,España,Tinto,Equipo Navazos,La Bota 78 de Oloroso N.V.,Manzanilla ,4.7,47,91.22,N.V.
180,España,Tinto,Viñedos de Páganos,La Nieta 2020,Rioja ,4.7,46,109.99,2020
181,España,Tinto,Territorio Luthier,Luthier Gran Reserva 2012,Ribera del Duero ,4.7,45,248.0,2012
182,España,Tinto,Comenge,Jacobus 2014,Ribera del Duero ,4.7,38,195.9,2014
183,España,Tinto,Familia Torres,Reserva Real 2016,Penedès ,4.7,36,273.0,2016
184,España,Tinto,Artadi,Viña El Pison 2019,Vino de España ,4.7,29,324.99,2019
185,España,Tinto,Vega Sicilia,Valbuena 5º 2007,Ribera del Duero ,4.6,5216,270.0,2007
186,España,Tinto,Vega Sicilia,Valbuena 5º 2008,Ribera del Duero ,4.6,5626,282.39,2008
187,España,Tinto,Vega Sicilia,Valbuena 5º 2012,Ribera del Duero ,4.6,6119,268.12,2012
188,España,Tinto,Alión,Ribera del Duero 2017,Ribera del Duero ,4.6,3517,189.9,2017
189,España,Tinto,Aalto,PS (Pagos Seleccionados) Ribera del Duero 2019,Ribera del Duero ,4.6,2513,129.46,2019
190,España,Tinto,Dominio de Pingus,Flor de Pingus 2018,Ribera del Duero ,4.6,1964,149.5,2018
191,España,Tinto,Alión,Ribera del Duero 2018,Ribera del Duero ,4.6,1959,185.0,2018
192,España,Tinto,Vega Sicilia,Valbuena 5º 2000,Ribera del Duero ,4.6,1020,278.3,2000
193,España,Tinto,Vega Sicilia,Valbuena 5º 2002,Ribera del Duero ,4.6,961,272.25,2002
194,España,Tinto,Bodega Numanthia,Termanthia 2012,Toro ,4.6,894,232.85,2012
195,España,Tinto,Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Tinto 2011,Rioja ,4.6,612,194.98,2011
196,España,Tinto,Vega Sicilia,Valbuena 5º 1999,Ribera del Duero ,4.6,604,276.8,1999
197,España,Tinto,Viñedos de Páganos,La Nieta 2018,Rioja ,4.6,304,110.8,2018
198,España,Tinto,Artadi,Viña El Pison 2006,Vino de España ,4.6,279,391.5,2006
199,España,Tinto,Teso La Monja,Alabaster 2015,Toro ,4.6,231,155.0,2015
200,España,Tinto,Bodega Numanthia,Termanthia 2014,Toro ,4.6,230,229.84,2014
201,España,Tinto,Bodegas Mauro,Terreus Paraje de Cueva Baja 2018,Castilla y León ,4.6,208,91.5,2018
202,España,Tinto,Viñedos de Páganos,La Nieta 2019,Rioja ,4.6,193,117.29,2019
203,España,Tinto,Bodegas Roda,Cirsion Rioja 2017,Rioja ,4.6,182,210.0,2017
204,España,Tinto,Teso La Monja,Alabaster 2017,Toro ,4.6,171,158.7,2017
205,España,Tinto,Artadi,Viña El Pison 2012,Vino de España ,4.6,170,450.0,2012
206,España,Tinto,Artadi,Viña El Pison 2011,Vino de España ,4.6,170,495.0,2011
207,España,Tinto,Vega Sicilia,Valbuena 5º 1985,Ribera del Duero ,4.6,146,285.0,1985
208,España,Tinto,Artadi,Viña El Pison 2014,Vino de España ,4.6,137,310.95,2014
209,España,Tinto,Alto Moncayo,Aquilon Garnacha 2015,Campo de Borja ,4.6,132,117.25,2015
210,España,Tinto,Cepa 21,Horcajo 2015,Ribera del Duero ,4.6,126,75.9,2015
211,España,Tinto,Hacienda Monasterio,Reserva Especial 2016,Ribera del Duero ,4.6,125,86.84,2016
212,España,Tinto,Hacienda Monasterio,Reserva Especial 2015,Ribera del Duero ,4.6,122,87.68,2015
213,España,Tinto,Alto Moncayo,Aquilon Garnacha 2016,Campo de Borja ,4.6,91,112.0,2016
214,España,Tinto,Teso La Monja,Alabaster 2018,Toro ,4.6,87,160.0,2018
215,España,Tinto,Mas d'en Gil,Gran Buig Priorat 2004,Priorato ,4.6,82,350.0,2004
216,España,Tinto,Oxer Wines,Kalamity Rioja 2018,Rioja ,4.6,82,109.73,2018
217,España,Tinto,Osborne,Solera India Oloroso Rare Sherry N.V.,Jerez-Xérès-Sherry ,4.6,80,195.0,N.V.
218,España,Tinto,Dominio del Águila,Gran Reserva Peñas Aladas 2014,Ribera del Duero ,4.6,80,208.95,2014
219,España,Tinto,Castillo Perelada,Finca Garbet 2014,Empordà ,4.6,79,119.7,2014
220,España,Tinto,Gómez Cruzado,Viña Motulleri 2011,Rioja ,4.6,77,85.5,2011
221,España,Tinto,Sierra Cantabria,Amancio 2017,Rioja ,4.6,74,88.77,2017
222,España,Tinto,Bodegas Mas Alta,La Creu Alta 2017,Priorato ,4.6,70,87.95,2017
223,España,Tinto,Artadi,El Carretil 2013,Vino de España ,4.6,69,215.0,2013
