Pais,Tipo,Bodegas,Nombre y año,Región,Rating,Valoraciones,Precio,Año
España,Tinto,Vega Sicilia,Valbuena 5º 2008,Ribera del Duero ,4.6,5626,282.39,2008
España,Tinto,Vega Sicilia,Valbuena 5º 2012,Ribera del Duero ,4.6,6119,268.12,2012
España,Tinto,Alión,Ribera del Duero 2017,Ribera del Duero ,4.6,3517,189.9,2017
España,Tinto,Aalto,PS (Pagos Seleccionados) Ribera del Duero 2019,Ribera del Duero ,4.6,2513,129.46,2019
España,Tinto,Dominio de Pingus,Flor de Pingus 2018,Ribera del Duero ,4.6,1964,149.5,2018
España,Tinto,Alión,Ribera del Duero 2018,Ribera del Duero ,4.6,1959,185.0,2018
España,Tinto,Vega Sicilia,Valbuena 5º 2000,Ribera del Duero ,4.6,1020,278.3,2000
España,Tinto,Vega Sicilia,Valbuena 5º 2002,Ribera del Duero ,4.6,961,272.25,2002
España,Tinto,Bodega Numanthia,Termanthia 2012,Toro ,4.6,894,232.85,2012
España,Tinto,Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Tinto 2011,Rioja ,4.6,612,194.98,2011
España,Tinto,Vega Sicilia,Valbuena 5º 1999,Ribera del Duero ,4.6,604,276.8,1999
España,Tinto,Viñedos de Páganos,La Nieta 2018,Rioja ,4.6,304,110.8,2018
España,Tinto,Artadi,Viña El Pison 2006,Vino de España ,4.6,279,391.5,2006
España,Tinto,Teso La Monja,Alabaster 2015,Toro ,4.6,231,155.0,2015
España,Tinto,Vega Sicilia,Unico 2010,Ribera del Duero ,4.8,1571,380.55,2010
España,Tinto,Vega Sicilia,Unico Reserva Especial Edición 2018,Ribera del Duero ,4.8,462,484.0,2018
España,Tinto,Vega Sicilia,Unico Reserva Especial Edición 2019,Ribera del Duero ,4.8,261,471.9,2019
España,Tinto,Toro Albalá,Don PX Convento Selección 1931,Montilla-Moriles ,4.8,159,300.93,1931
España,Tinto,Vega Sicilia,Unico Reserva Especial Edición 2020,Ribera del Duero ,4.8,97,435.75,2020
España,Tinto,Ordóñez,Vatan Arena Tinta de Toro 2014,Toro ,4.8,84,369.05,2014
España,Tinto,Viña Sastre,Pesus Ribera del Duero 2007,Ribera del Duero ,4.8,81,360.0,2007
España,Tinto,Toro Albalá,Don PX Convento Selección 1929,Montilla-Moriles ,4.8,77,290.95,1929
España,Tinto,Artadi,Viña El Pison 2018,Vino de España ,4.8,54,299.25,2018
España,Tinto,Vega Sicilia,Unico Reserva Especial Edición 2021,Ribera del Duero ,4.8,28,451.5,2021
España,Tinto,Vega Sicilia,Unico 2005,Ribera del Duero ,4.7,3627,496.1,2005
España,Tinto,Vega Sicilia,Valbuena 5º 2006,Ribera del Duero ,4.7,3980,249.2,2006
España,Tinto,Vega Sicilia,Unico Reserva Especial Edición,Ribera del Duero ,4.7,12885,423.5,Edición
España,Tinto,Vega Sicilia,Unico 2006,Ribera del Duero ,4.7,2976,450.0,2006
España,Tinto,Vega Sicilia,Unico 2008,Ribera del Duero ,4.7,2516,499.0,2008
España,Tinto,Vega Sicilia,Unico 2009,Ribera del Duero ,4.7,2054,450.0,2009
España,Tinto,Vega Sicilia,Valbuena 5º 2005,Ribera del Duero ,4.7,1894,284.1,2005
España,Tinto,Vega Sicilia,Unico 2011,Ribera del Duero ,4.7,1298,389.9,2011
España,Tinto,Vega Sicilia,Unico Reserva Especial Edición 2017,Ribera del Duero ,4.7,563,496.1,2017
España,Tinto,Vega Sicilia,Unico 2012,Ribera del Duero ,4.7,511,349.0,2012
España,Tinto,Emilio Moro,Malleolus de Sanchomartin 2016,Ribera del Duero ,4.7,434,120.75,2016
España,Tinto,Pago de Los Capellanes,Parcela El Picón Tinto 2016,Ribera del Duero ,4.7,140,196.0,2016
España,Tinto,Toro Albalá,Don PX Convento Selección 1955,Montilla-Moriles ,4.7,129,227.5,1955
España,Tinto,Toro Albalá,Don PX Pedro Ximenez 1931,Montilla-Moriles ,4.7,79,320.61,1931
España,Tinto,Teso La Monja,Alabaster 2019,Toro ,4.7,74,160.77,2019
España,Tinto,Pago de Carraovejas,Cuesta de Las Liebres 2018,Ribera del Duero ,4.7,70,158.9,2018
España,Tinto,Ordóñez,Vatan Arena Tinta de Toro 2015,Toro ,4.7,70,369.0,2015
España,Tinto,Toro Albalá,Don PX Convento Selección 1958,Montilla-Moriles ,4.7,55,249.02,1958
España,Tinto,Recaredo,Reserva Particular de Recaredo Brut Nature 2011,Penedès ,4.7,54,65.05,2011
España,Tinto,Equipo Navazos,La Bota 78 de Oloroso N.V.,Manzanilla ,4.7,47,91.22,N.V.
